"Time [ms]","Steel_1008 [Wb]","Steel_1008_NoEddy [Wb]","SS430 [Wb]"
15.6,2.13503032777633,2.43069217363345,2.34464606539658
15.7,2.14529615394244,2.44357841276014,2.35656385131958
15.8,2.15554856206184,2.45646989177901,2.3684786903983
15.9,2.16578834440137,2.46936815802643,2.38039190920513
16,2.17601628792793,2.48227477985136,2.39230487972634
16.1,2.18623328814654,2.49519145500674,2.40421900671025
16.2,2.19644013173081,2.50811992466185,2.41613574932245
16.3,2.20663772352465,2.52106192975623,2.42805656303295
16.4,2.21682687783959,2.53401922472646,2.43998303188851
16.5,2.22700846770411,2.54699375972786,2.45191678517102
16.6,2.2371833931494,2.55998753031784,2.46385936518699
16.7,2.2473525557257,2.5730024782742,2.47581252608909
16.8,2.25751687685433,2.58604073392102,2.48777801672197
16.9,2.26767731044774,2.59910446643678,2.49975768655368
17,2.27783480851407,2.61219593034251,2.51175333272807
17.1,2.28799031465661,2.62531747852861,2.52376691772068
17.2,2.29814487541661,2.63847154092088,2.5358004421702
17.3,2.30829954642665,2.65166063985195,2.54785599502175
17.4,2.31845529303582,2.66488742209399,2.55993573323334
17.4999999999999,2.32861324237265,2.67815464241585,2.57204187779985
17.5999999999999,2.33877449480783,2.69146517783436,2.58417675860846
17.6999999999999,2.34894019805346,2.70482201514425,2.59634279847077
17.7999999999999,2.3591114764988,2.71822824736645,2.60854252895232
17.8999999999999,2.36928952565741,2.73168718685825,2.62077856009065
17.9999999999999,2.37947555782721,2.74520228831993,2.63305359151282
18.0999999999999,2.38967082005501,2.75877714831062,2.64537051323836
18.1999999999999,2.39987660568115,2.77241555088119,2.65773231706038
18.2999999999999,2.41009423371667,2.78612149404745,2.67014212266126
18.3999999999999,2.4203250535628,2.79989918729154,2.68260320361929
18.4999999999999,2.43057047803239,2.81375307643858,2.6951190013172
18.5999999999999,2.44083195452731,2.82768782505503,2.70769313352332
18.6999999999999,2.45111098001702,2.84170847304692,2.72032940626247
18.7999999999999,2.4614090995904,2.85582025261825,2.7330318357364
18.8999999999999,2.47172789426545,2.87002888655291,2.74580462216322
18.9999999999999,2.48206896494881,2.88434028854334,2.75865230351666
19.0999999999999,2.49243403555315,2.89876105336255,2.77157957363248
19.1999999999999,2.50282487137723,2.91329812109221,2.78459156625014
19.2999999999999,2.51324326156576,2.92795893658617,2.79769356149172
19.3999999999999,2.52369107014426,2.94275163583942,2.81089145198585
19.4999999999999,2.53417023489309,2.95768507473925,2.82419141311194
19.5999999999999,2.54468276447007,2.9727688332947,2.83760004856496
19.6999999999999,2.55523073979071,2.98801364149114,2.85112455898634
19.7999999999999,2.56581633329277,3.00343127241798,2.8647727782097
